ID,Produto,Marca,Vendas,Valor Unitário,Categoria,Data da Venda,Nome do Cliente,Cidade do Cliente
1,Máquina de Lavar,Panasonic,2,370.25,Linha Branca,2025-04-04,Dra. Alexia Novaes,Viana do Sul
2,Ar-Condicionado,Britânia,4,3520.01,Climatização,2024-06-08,Letícia Porto,da Rocha de Cardoso
3,Aspirador de Pó,Philco,3,5874.38,Eletroportáteis,2023-12-19,Dra. Maria Sophia Porto,Araújo
4,Cafeteira,Brastemp,1,286.77,Eletroportáteis,2023-08-28,Ana Beatriz Cunha,Viana
5,Geladeira,Panasonic,3,781.0,Linha Branca,2024-10-13,Lucas Gabriel Ribeiro,Melo de Martins
6,Televisão,Philco,5,5661.64,Eletrônicos,2024-11-05,João Felipe Peixoto,Caldeira
7,Aspirador de Pó,Brastemp,2,5598.93,Eletroportáteis,2025-05-15,Lorena da Rocha,Peixoto da Praia
8,Ar-Condicionado,Consul,3,5458.43,Climatização,2023-10-20,Larissa da Cruz,Melo de Gomes
9,Televisão,LG,4,5118.49,Eletrônicos,2025-06-15,Eduarda das Neves,Gomes
10,Secadora,Mondial,5,2232.68,Linha Branca,2023-12-23,Benício Rocha,Freitas
11,Ar-Condicionado,Britânia,3,3490.21,Climatização,2025-07-03,Davi Lucca Nogueira,Pereira do Campo
12,Liquidificador,Brastemp,4,3506.15,Eletroportáteis,2024-06-17,Marcela Dias,Vieira do Amparo
13,Máquina de Lavar,Electrolux,3,2215.17,Linha Branca,2024-03-09,João Felipe Mendes,Vieira
14,Cafeteira,Brastemp,4,2235.28,Eletroportáteis,2025-01-02,Pedro Miguel Freitas,Nogueira da Serra
15,Geladeira,Mondial,5,240.56,Linha Branca,2024-08-02,Sofia Ribeiro,Aragão de Farias
16,Micro-ondas,Philco,5,1537.49,Eletroportáteis,2024-04-08,Renan da Cruz,Castro de Moura
17,Fogão,Philco,4,2600.07,Linha Branca,2023-11-15,Dr. Paulo Castro,Lima da Mata
18,Liquidificador,Mondial,1,5554.31,Eletroportáteis,2024-07-21,Sra. Mirella Duarte,Cardoso
19,Aspirador de Pó,Britânia,3,1107.85,Eletroportáteis,2023-12-27,Bruna Dias,Santos
20,Micro-ondas,Consul,5,1061.96,Eletroportáteis,2024-11-16,Luigi Teixeira,Silva de Castro
21,Fogão,Panasonic,4,318.39,Linha Branca,2024-11-23,Danilo Pinto,Peixoto
22,Ar-Condicionado,Mondial,3,919.13,Climatização,2023-12-02,Vicente da Mota,da Conceição do Galho
23,Máquina de Lavar,Mondial,2,4490.66,Linha Branca,2025-06-18,Sofia Cardoso,Silveira
24,Liquidificador,Brastemp,5,5399.02,Eletroportáteis,2025-04-08,Ana Vitória Lima,da Cruz
25,Ar-Condicionado,Brastemp,5,5359.27,Climatização,2024-08-30,Yago Nascimento,Sales do Campo
26,Televisão,Mondial,2,5178.56,Eletrônicos,2024-06-10,Gustavo Barros,Barbosa
27,Liquidificador,Britânia,5,1678.65,Eletroportáteis,2025-03-27,Emanuelly Barros,Pires Paulista
28,Aspirador de Pó,Midea,2,2775.31,Eletroportáteis,2024-02-25,Gabrielly Farias,Ribeiro do Campo
29,Micro-ondas,Philco,2,1866.6,Eletroportáteis,2025-03-06,Clarice Correia,Lopes
30,Cafeteira,Philco,5,810.67,Eletroportáteis,2025-05-13,Ana Clara Moraes,da Costa do Galho
31,Geladeira,Mondial,1,2114.95,Linha Branca,2024-07-21,Davi Lucas Ferreira,Mendes da Prata
32,Liquidificador,Midea,4,5490.5,Eletroportáteis,2023-07-27,Stella Ramos,Barros
33,Máquina de Lavar,Consul,1,3511.35,Linha Branca,2025-03-23,Vitor Mendes,Nascimento de Barros
34,Máquina de Lavar,Consul,4,3340.59,Linha Branca,2024-12-30,Natália Teixeira,Cardoso das Pedras
35,Liquidificador,Electrolux,4,724.45,Eletroportáteis,2024-07-20,Sabrina Alves,Ramos
36,Máquina de Lavar,Britânia,5,4352.37,Linha Branca,2024-08-04,Danilo Peixoto,Moreira
37,Secadora,Samsung,4,3873.37,Linha Branca,2023-07-31,Beatriz Martins,Pereira de Pires
38,Ar-Condicionado,Electrolux,1,5339.11,Climatização,2024-11-23,Vinicius da Conceição,Azevedo
39,Máquina de Lavar,Philco,4,321.95,Linha Branca,2024-02-28,Dr. Danilo Rocha,Azevedo
40,Aspirador de Pó,Philco,2,5839.99,Eletroportáteis,2024-05-06,Luiz Gustavo Pereira,da Conceição
41,Liquidificador,Electrolux,4,3542.46,Eletroportáteis,2024-06-07,Sr. Juan Silva,Azevedo Paulista
42,Secadora,Britânia,5,667.27,Linha Branca,2024-03-01,Levi Silva,Rezende de Minas
43,Máquina de Lavar,Philco,5,3069.22,Linha Branca,2024-01-01,Anthony Lopes,da Mota
44,Geladeira,Britânia,4,1258.92,Linha Branca,2025-01-21,Olivia Melo,Aragão
45,Máquina de Lavar,Midea,1,2116.23,Linha Branca,2024-11-11,Rafael Jesus,Oliveira
46,Cafeteira,Samsung,4,1970.48,Eletroportáteis,2025-02-04,Dra. Emanuella Gomes,Moraes de da Rosa
47,Máquina de Lavar,LG,1,1659.73,Linha Branca,2023-11-12,Ana Vitória Dias,Azevedo de da Paz
48,Secadora,Mondial,1,3885.57,Linha Branca,2025-05-11,Isadora Freitas,Jesus de Goiás
49,Televisão,Samsung,5,695.92,Eletrônicos,2023-10-01,Ian da Mota,da Costa de Monteiro
50,Micro-ondas,Consul,5,5497.91,Eletroportáteis,2023-10-23,Cecília da Conceição,Ramos
51,Liquidificador,Electrolux,5,1498.36,Eletroportáteis,2023-07-26,Maria Luiza da Mata,Alves
52,Micro-ondas,Consul,5,1553.69,Eletroportáteis,2024-07-17,Maysa Dias,da Conceição
53,Ar-Condicionado,Electrolux,3,516.48,Climatização,2025-03-02,João Lucas da Luz,Caldeira Verde
54,Cafeteira,Britânia,1,5257.21,Eletroportáteis,2024-11-30,Ana Carolina Fernandes,Nascimento do Galho
55,Cafeteira,Britânia,4,4776.6,Eletroportáteis,2024-04-26,Igor Farias,Fernandes do Amparo
56,Micro-ondas,Consul,5,5877.17,Eletroportáteis,2024-11-24,Maria Eduarda Silva,Ferreira de Silveira
57,Fogão,Electrolux,5,2646.02,Linha Branca,2024-10-01,Daniela da Paz,Moura
58,Geladeira,Panasonic,5,2113.33,Linha Branca,2023-11-14,Sra. Kamilly Nogueira,Almeida
59,Máquina de Lavar,Electrolux,3,2563.61,Linha Branca,2025-03-20,Thales Azevedo,Monteiro
60,Fogão,Consul,4,3994.07,Linha Branca,2024-07-03,Marcos Vinicius Lopes,Nogueira da Prata
61,Fogão,Electrolux,2,2932.88,Linha Branca,2024-12-09,Alana Silveira,Viana Alegre
62,Geladeira,Panasonic,5,2166.52,Linha Branca,2025-04-03,Laís Duarte,Pires
63,Micro-ondas,Consul,5,2426.57,Eletroportáteis,2024-10-25,Maria Julia Almeida,Melo dos Dourados
64,Micro-ondas,LG,5,647.58,Eletroportáteis,2025-03-18,João Lucas Silva,Viana da Prata
65,Ar-Condicionado,Electrolux,2,5134.2,Climatização,2024-04-25,Maitê Azevedo,Carvalho da Serra
66,Ar-Condicionado,LG,3,4002.48,Climatização,2023-07-22,Julia Silva,da Costa
67,Cafeteira,Philco,4,2369.9,Eletroportáteis,2023-07-16,Felipe Ribeiro,da Mota Alegre
68,Máquina de Lavar,Electrolux,2,2616.04,Linha Branca,2023-09-24,Luiz Henrique Viana,Ramos do Sul
69,Máquina de Lavar,Samsung,1,2530.69,Linha Branca,2024-02-02,Thales Carvalho,da Luz da Mata
70,Aspirador de Pó,Mondial,1,3807.02,Eletroportáteis,2024-05-04,Pedro Lucas Melo,Nunes
71,Televisão,Panasonic,5,1607.96,Eletrônicos,2024-07-16,Sr. Davi Lucas Melo,Rodrigues Paulista
72,Televisão,Mondial,2,1136.78,Eletrônicos,2025-02-10,Heloísa Lima,Araújo da Praia
73,Fogão,Samsung,3,4636.69,Linha Branca,2024-12-01,Pedro Miguel Barros,Teixeira
74,Fogão,Samsung,1,5354.87,Linha Branca,2024-12-18,Sra. Kamilly Rodrigues,Castro
75,Fogão,Panasonic,2,4042.32,Linha Branca,2023-09-26,Laís Pires,Freitas das Flores
76,Cafeteira,Panasonic,2,5274.25,Eletroportáteis,2025-02-28,Dra. Laís Silveira,Pereira
77,Micro-ondas,Electrolux,4,5849.02,Eletroportáteis,2025-05-06,Luigi Duarte,Cardoso de Araújo
78,Cafeteira,Brastemp,5,4375.95,Eletroportáteis,2024-06-17,Luigi Araújo,Monteiro do Amparo
79,Micro-ondas,Consul,1,5355.61,Eletroportáteis,2023-10-04,Luana Melo,Viana
80,Cafeteira,Brastemp,3,4246.38,Eletroportáteis,2025-04-12,Enzo da Rosa,Farias
81,Micro-ondas,Consul,4,1626.38,Eletroportáteis,2024-02-23,Dr. Caio Farias,Moraes do Campo
82,Máquina de Lavar,Consul,3,885.9,Linha Branca,2024-08-19,Alice Pinto,da Conceição das Pedras
83,Máquina de Lavar,Philco,5,5655.46,Linha Branca,2024-02-18,Dra. Alice Ferreira,Costela das Flores
84,Máquina de Lavar,Consul,2,2791.74,Linha Branca,2024-06-02,Diogo da Conceição,Ramos
85,Televisão,Britânia,5,2040.63,Eletrônicos,2025-01-11,Joana Moraes,Porto da Prata
86,Fogão,LG,3,4351.76,Linha Branca,2024-09-26,Maria Eduarda Cardoso,Cunha de Ferreira
87,Secadora,Philco,5,214.11,Linha Branca,2023-10-31,Bruna das Neves,Lopes
88,Secadora,Consul,5,2636.98,Linha Branca,2024-01-19,Laura Jesus,Rodrigues
89,Aspirador de Pó,Samsung,4,4557.74,Eletroportáteis,2024-08-20,Samuel Oliveira,Araújo das Pedras
90,Liquidificador,Consul,5,1536.29,Eletroportáteis,2024-08-29,Erick Vieira,Peixoto
91,Máquina de Lavar,Consul,1,5362.44,Linha Branca,2023-11-27,Sra. Sarah Caldeira,Fogaça do Amparo
92,Micro-ondas,Mondial,4,5463.02,Eletroportáteis,2024-08-01,Sr. Pedro Miguel Nogueira,Ferreira das Pedras
93,Aspirador de Pó,Midea,4,4131.75,Eletroportáteis,2025-04-14,Rafael Santos,Costa
94,Fogão,Samsung,1,3214.77,Linha Branca,2025-05-06,Dr. Breno Vieira,Sales de Lopes
95,Ar-Condicionado,Midea,3,3924.51,Climatização,2024-08-03,Guilherme Castro,Lima de Rocha
